low_vol,high_vol
1.0,1.2516903317203564e-24
0.9999779116703637,2.2088329720319196e-05
0.9999729417600157,2.705824013930746e-05
0.9999764067215642,2.3593278532688822e-05
0.9999736602302784,2.6339769861724324e-05
0.999957484239768,4.2515760316562566e-05
0.9999685989228836,3.1401076981273345e-05
0.9999647151211999,3.528487898872208e-05
0.9999410304947537,5.896950522289237e-05
0.9998576002102181,0.00014239978995570193
0.9998379379202667,0.0001620620798375007
0.9999148418724001,8.515812740497672e-05
0.9999575830394386,4.2416960708728196e-05
0.9999642398334242,3.5760166713426e-05
0.9999635636371552,3.643636296820159e-05
0.9999670280823727,3.2971917697206305e-05
0.9999626151769658,3.73848228410944e-05
0.9999603660363457,3.963396373817646e-05
0.9999661357014421,3.3864298776766524e-05
0.9999606507560601,3.9349244088134794e-05
0.9999433534936886,5.664650625600798e-05
0.9999469672349993,5.3032765207410473e-05
0.9999044620510319,9.553794911743737e-05
0.9998130561000589,0.00018694390009474113
0.9994832630966376,0.0005167369034210009
0.9996018317718113,0.00039816822833409275
0.9998500459206929,0.00014995407929389832
0.9999318566123464,6.814338744410088e-05
0.9999665812783741,3.341872157593939e-05
0.9999767840075158,2.3215992294916615e-05
0.9999760622322577,2.3937767967699675e-05
0.9999742945040178,2.5705495920383862e-05
0.9999765717755105,2.3428224537482232e-05
0.9999677660300443,3.223396990747599e-05
0.9999477077720685,5.2292227847905094e-05
0.9999705495259417,2.945047384631286e-05
0.999976196046202,2.3803953641045616e-05
0.9999742102242233,2.578977562036695e-05
0.9999584170296958,4.158297021642381e-05
0.9999016585020988,9.83414980322994e-05
0.9999303153965297,6.968460364927373e-05
0.9999064864330625,9.351356690979291e-05
0.9998450962665127,0.0001549037334369508
0.9998816886989963,0.00011831130101937352
0.9999033238864267,9.667611370829226e-05
0.999900379698603,9.962030126358266e-05
0.9999473715772548,5.262842276439753e-05
0.9999675486569274,3.245134325202339e-05
0.9999648092328499,3.51907673410779e-05
0.999955877534641,4.412246546071892e-05
0.9999196299775124,8.037002254965095e-05
0.9999326924059253,6.730759405691076e-05
0.9999545256945397,4.5474305320806864e-05
0.9999665583566908,3.344164340113026e-05
0.9999706658082426,2.933419193740289e-05
0.999969813259185,3.0186740609389942e-05
0.9999488487987538,5.115120134020375e-05
0.9999447055314963,5.5294468602195854e-05
0.9999656804020891,3.431959781212223e-05
0.9999767976377966,2.320236204001672e-05
0.9999769006916196,2.30993084134825e-05
0.9999678199422444,3.218005766577381e-05
0.9999775570849193,2.244291525770063e-05
0.9999793347940584,2.0665205980237146e-05
0.9999743740077303,2.562599214653087e-05
0.9999593219187856,4.067808105011013e-05
0.9999288109622542,7.118903778817821e-05
0.9998653764249844,0.000134623575224561
0.9999294441712498,7.055582863953608e-05
0.9999624816822406,3.751831794280586e-05
0.9999702285142857,2.977148585558636e-05
0.9999611466245593,3.8853375522571e-05
0.9999292939960881,7.0706004069338e-05
0.9999447499387584,5.5250061247087034e-05
0.9999562316349341,4.3768365119370155e-05
0.9999449443043361,5.505569552532393e-05
0.9999636764658725,3.632353404233988e-05
0.9999713638220102,2.863617817597545e-05
0.9999654990314399,3.450096872830463e-05
0.9999496119770365,5.038802310553639e-05
0.9999316311494482,6.836885055278245e-05
0.9998970577850895,0.000102942215044114
0.9999498461883419,5.01538115998137e-05
0.9999568103235247,4.318967668855626e-05
0.9999591480786887,4.0851921398944934e-05
0.9999716642081845,2.8335791589536672e-05
0.9999664203386738,3.357966111043068e-05
0.9999740086162957,2.599138364243703e-05
0.9999690103577207,3.0989642448173095e-05
0.9999618877164412,3.811228367245671e-05
0.9999473957285252,5.26042714175697e-05
0.9999665415552477,3.345844456018295e-05
0.9999636589728322,3.634102702631895e-05
0.9999400747658642,5.9925234245397235e-05
0.9998730048815383,0.00012699511835534316
0.9998687613002409,0.00013123869998413307
0.9997803379463973,0.00021966205345405688
0.999919398466081,8.060153406108414e-05
0.9999588073936758,4.119260649307609e-05
0.9999627626860456,3.723731407241362e-05
0.9999378178852407,6.218211467820891e-05
0.9999581546600594,4.184534002416852e-05
0.9999476249473566,5.237505270171313e-05
0.9999637966444179,3.6203355468317046e-05
0.9999612285968635,3.877140320907004e-05
0.999970687518154,2.9312481653790318e-05
0.9999753812373486,2.4618762660834887e-05
0.9999754434993703,2.4556500560297385e-05
0.9999741750176825,2.58249820977692e-05
0.9999586753955159,4.132460429062901e-05
0.9999446956890341,5.530431114275856e-05
0.9998783538324741,0.00012164616734773095
0.999856742276818,0.0001432577231676129
0.9999421084926665,5.789150739071529e-05
0.9999676646273875,3.233537267253819e-05
0.9999753107405144,2.468925958798397e-05
0.9999701629512215,2.983704897783668e-05
0.999953400749588,4.659925043288923e-05
0.9999731541458605,2.6845853944534278e-05
0.9999767432562788,2.3256743542624978e-05
0.9999798638622535,2.0136137905584838e-05
0.9999798144644995,2.0185535661421056e-05
0.9999762088643154,2.379113548673003e-05
0.9999705416895114,2.9458310477902368e-05
0.9999612958459345,3.8704154055701336e-05
0.9999704359170348,2.956408294083159e-05
0.9999768252430491,2.3174757056570223e-05
0.9999771786395515,2.2821360464161775e-05
0.9999766784035411,2.3321596266477425e-05
0.99996666420015,3.333579964613766e-05
0.9999355250701613,6.447492969684434e-05
0.9999428434671689,5.71565329349774e-05
0.9999666078501932,3.339214986130312e-05
0.9999684226492619,3.157735082892333e-05
0.99997601977306,2.398022703810998e-05
0.9999747778449427,2.5222154942551316e-05
0.9999791164571108,2.0883542695291327e-05
0.999979178783483,2.0821216423694388e-05
0.9999804253021939,1.957469801714181e-05
