timestamp,open,high,low,close,volume
2025-08-21,114276.00000000,114276.00000000,114012.39000000,114211.70000000,107.76252824
2025-08-20,112853.66000000,114627.37000000,112344.11000000,114276.00000000,5764.27605073
2025-08-19,116286.75000000,116792.87000000,112696.56000000,112856.19000000,7918.58452813
2025-08-18,117488.59000000,117633.80000000,114703.26000000,116286.76000000,6762.85366719
2025-08-17,117455.69000000,118641.60000000,117249.49000000,117488.60000000,2021.61751952
2025-08-16,117436.95000000,118028.68000000,117222.01000000,117455.68000000,1781.69438526
2025-08-15,118389.79000000,119339.57000000,116859.32000000,117436.96000000,4990.79935800
2025-08-14,123365.63000000,124533.00000000,117208.97000000,118389.79000000,10154.04939662
2025-08-13,120109.04000000,123740.24000000,118931.34000000,123365.63000000,8512.88609550
2025-08-12,118701.83000000,120327.00000000,118190.81000000,120113.18000000,4615.45835079
2025-08-11,119309.37000000,122319.14000000,118050.00000000,118701.84000000,7220.80819945
2025-08-10,116492.50000000,119324.08000000,116480.00000000,119309.37000000,2850.61404026
2025-08-09,116683.79000000,117937.89000000,116343.34000000,116492.51000000,2586.17129292
2025-08-08,117515.69000000,117687.00000000,115800.00000000,116683.79000000,4870.30424260
2025-08-07,115028.83000000,117687.00000000,114268.60000000,117515.49000000,5804.23960803
2025-08-06,114112.95000000,115749.99000000,113347.87000000,115028.83000000,4481.39474697
2025-08-05,115056.14000000,115112.75000000,112622.14000000,114112.95000000,4943.38930608
2025-08-04,114215.70000000,115756.06000000,114118.18000000,115051.85000000,4655.53866243
2025-08-03,112542.75000000,114794.99000000,111903.68000000,114215.73000000,2212.37278435
2025-08-02,113248.83000000,114023.58000000,112000.00000000,112542.74000000,2946.58111580
2025-08-01,115756.12000000,116065.12000000,112659.00000000,113248.73000000,9196.58441635
2025-07-31,117830.15000000,118920.00000000,115500.00000000,115761.13000000,4647.65213880
2025-07-30,117933.39000000,118809.43000000,115728.49000000,117830.15000000,4647.74101380
2025-07-29,118074.43000000,119284.78000000,116900.00000000,117933.39000000,6070.86335715
2025-07-28,119465.52000000,119839.00000000,117380.60000000,118070.59000000,7647.38438521
2025-07-27,117981.73000000,119800.00000000,117849.99000000,119465.52000000,4999.42180703
2025-07-26,117633.27000000,118371.35000000,117095.73000000,117969.63000000,6974.42930567
2025-07-25,117305.10000000,117706.00000000,117205.92000000,117633.27000000,336.74416551
2025-07-24,118810.44000000,119557.70000000,117190.00000000,118397.04000000,7136.43241263
2025-07-23,120034.21000000,120180.93000000,117342.21000000,118810.44000000,5526.13819924
2025-07-22,117428.79000000,120300.00000000,116185.00000000,120026.42000000,7564.58852928
2025-07-21,117315.68000000,119745.93000000,116565.01000000,117428.79000000,5450.55450292
2025-07-20,117914.17000000,118921.76000000,116525.00000000,117312.70000000,2504.59032125
2025-07-19,118023.06000000,118564.59000000,117337.59000000,117914.17000000,1700.09971980
2025-07-18,119273.70000000,120918.68000000,116892.42000000,118023.05000000,8735.40386401
2025-07-17,118681.67000000,120998.76000000,117469.00000000,119273.69000000,8360.35130892
2025-07-16,117781.63000000,120134.80000000,117033.23000000,118681.68000000,9250.98642597
2025-07-15,119863.71000000,119973.30000000,115697.37000000,117781.64000000,23726.31356081
2025-07-14,119130.81000000,123231.07000000,118949.18000000,119863.71000000,13536.79954839
2025-07-13,117472.65000000,119500.00000000,117238.69000000,119130.81000000,3461.04303140
2025-07-12,117582.16000000,118244.51000000,116940.82000000,117472.65000000,2397.72381256
2025-07-11,116031.29000000,118909.74000000,115211.74000000,117582.16000000,10116.88620600
2025-07-10,111282.84000000,116842.00000000,110541.87000000,116031.30000000,12920.20742934
2025-07-09,108953.58000000,112152.91000000,108329.87000000,111282.85000000,7683.83239574
2025-07-08,108271.49000000,109255.99000000,107438.33000000,108958.04000000,3785.39074160
